unique_sample_ids	analysis_sample_names	mouse_id	dob	cage	unique_id_extended	box	box_location	description	mouse_strain	path_rrbs	directory_rrbs	raw_sample_names_rrbs	Experiment Name	alignment_bams_rrbs	raw_sample_names_rnaseq	raw_sample_names_rnaseq_new	Sex	Total_duration_on_diet_months	starting_control_diet_acclimation	staring_experimental_diets	original_Diet	duration_of_reversion_months	duration_of_reversion_group	current_Diet	reversal_status	reversion_date	reversal_diet	tissue	sample_notes	takedown_condition	takedown_date
coco_4_6	coco_4_6	6	3_16_2019	coco-4	coco_4_6_8_7_20	TD26	Hillside-2-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_83	Coco_4-6-M_SF_Ileum_8_7_20_S109_L003	Coco 4-6-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_4_6.bam	Coco_4-6-M_1_S40	Coco_4-6-M_1_S40	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	cryobanking	coconut	8_7_20
coco_4_7	coco_4_7	7	3_16_2019	coco-4	coco_4_7_8_11_20	TD31	Hillside-2-A-15	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_91	Coco_4-7-M_SF_Ileum_8_11_20_S117_L003	Coco 4-7-M SF Ileum 8/11/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_4_7.bam	Coco_4-7-M_8_11_20_9_S39	Coco_4-7-M_8_11_20_9_S39	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	cryobanking	coconut	8_11_20
coco_4_8	coco_4_8	8	3_16_2019	coco-4	coco_4_8_8_6_20	TD24	Hillside-2-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_80	Coco_4-8-M_SF_Ileum_8_6_20_S106_L003	Coco 4-8-M SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_coco_4_8.bam	Coco_4-8-M_14_S41	Coco_4-8-M_14_S41	M	13	5_28_2019	6_18_2019	coconut	0	NR	coconut	NO	NA	NO	Ilium SF	cryobanking	coconut	8_6_20
cont_1_1	cont_1_1	1	3_16_2019	cont-1	cont_1_1_7_7_20	TD2	Hillside-1-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_1	Control_1-1-F_SF_Ileum_7_7_20_S1_L002	Control 1-1-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_1_1.bam	Cont_1-1-F_1_S86	Cont_1-1-F_1_S86	F	12	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	cyrobanking	control	7_7_20
cont_1_2	cont_1_2	2	3_16_2019	cont-1	cont_1_2_7_14_20	TD8	Hillside-1-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_15	Control_1-2-F_SF_Ileum_7_14_20_S14_L002	Control 1-2-F SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_1_2.bam	Cont_1-2-F_S83	Cont_1-2-F_S83	F	12	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	cyrobanking	control	7_14_20
cont_1_4	cont_1_4	4	3_16_2019	cont-1	cont_1_4_7_20_20	TD12	Hillside-1-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_36	Control_1-4-F_SF_Ileum_7_20_20_S33_L002	Control 1-4-F SF Ileum 7/20/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_1_4.bam	Cont_1-4-F_S81	Cont_1-4-F_S81	F	13	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	cyrobanking	control	7_20_20
cont_2_6	cont_2_6	6	3_16_2019	cont-2	cont_2_6_7_23_20	TD18	Hillside-2-A-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_58	Control_2-6-F_SF_Ileum_7_23_20_S85_L003	Control 2-6-F SF Ileum 7/23/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_2_6.bam	Cont_2-6-F_S80	Cont_2-6-F_S80	F	13	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	sequencing	control	7_23_20
cont_3_1	cont_3_1	1	3_16_2019	Cont-3	cont_3_1_7_2_20	TD1	Hillside-1-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_2	Control_3-1-M_SF_Ileum_7_2_20_S2_L002	Control 3-1-M SF Ileum 7/2/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_3_1.bam	Cont_3-1-M_2_S85	Cont_3-1-M_2_S85	M	12	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	Lard n=1 single cell take-down	control	7_2_20
cont_3_5	cont_3_5	5	3_16_2019	cont-3	cont_3_5_7_13_20	TD6	Hillside-1-A-06	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_26	Control_3-5-M_SF_Ileum_7_7_20_S23_L002	Control 3-5-M SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_3_5.bam	Cont_3-5-M_8_S82	Cont_3-5-M_8_S82	M	12	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	sequencing	control	7_13_20
cont_4_8	cont_4_8	8	3_16_2019	cont-4	cont_4_8_7_8_20	TD4	Hillside-1-A-04	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_9	Control_4-8-M_SF_Ileum_7_8_20_S8_L002	Control 4-8-M SF Ileum 7/8/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_cont_4_8.bam	Cont_4-8-M_S84	Cont_4-8-M_S84	M	12	5_28_2019	6_18_2019	control	0	NR	control	NO	NA	NO	Ilium SF	cyrobanking	control	7_8_20
fish_1_1	fish_1_1	1	3_16_2019	fish-1	fish_1_1_7_7_20	TD3	Hillside-1-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_8	Fish_1-1-F_SF_Ileum_7_7_20_S7_L002	Fish 1-1-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_1_1.bam	Fish_1-1-F_S73	Fish_1-1-F_S73	F	12	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	cyrobanking	fish	7_7_20
fish_1_2	fish_1_2	2	3_16_2019	fish-1	fish_1_2_7_7_20	TD3	Hillside-1-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_19	Fish_1-2-F_SF_Ileum_7_7_20_S18_L002	Fish 1-2-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_1_2.bam	Fish_1-2-F_S28	Fish_1-2-F_S28	F	12	5_28_2019	6_18_2019	fish	8	late	control	YES	10/4/19	fish_to_control	Ilium SF	cyrobanking	fish_rev	7_7_20
fish_1_4	fish_1_4	4	3_16_2019	fish-1	fish_1_4_8_6_20	TD25	Hillside-2-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_84	Fish_1-4-F_SF_Ileum_8_6_20_S110_L003	Fish 1-4-F SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_1_4.bam	Fish_1-4-F_2_S70	Fish_1-4-F_2_S70	F	13	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	cryobanking	fish	8_6_20
fish_1_5	fish_1_5	5	3_16_2019	fish-1	fish_1_5_7_7_20	TD3	Hillside-1-A-03	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_10	Fish_1-5-F_SF_Ileum_7_7_20_S9_L002	Fish 1-5-F SF Ileum 7/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_1_5.bam	Fish_1-5-F_S23	Fish_1-5-F_S23	F	12	5_28_2019	6_18_2019	fish	3	early	control	YES	4/2/20	fish_to_control	Ilium SF	cyrobanking	fish_rev	7_7_20
fish_2_10	fish_2_10	10	3_16_2019	fish-2	fish_2_10_8_6_20	TD25	Hillside-2-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_90	Fish_2-10-F_SF_Ileum_8_6_20_S116_L003	Fish 2-10-F SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_2_10.bam	Fish_2-10-F_8_S18	Fish_2-10-F_8_S18	F	13	5_28_2019	6_18_2019	fish	4	early	control	YES	4/2/20	fish_to_control	Ilium SF	cryobanking	fish_rev	8_6_20
fish_2_6	fish_2_6	6	3_16_2019	fish_2	fish_2_6_8_10_20	TD28	Hillside-2-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_92	Fish_2-6-F_SF_Ileum_8_10_20_S118_L003	Fish 2-6-F SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_2_6.bam	Fish_2-6-F_10_S25	Fish_2-6-F_10_S25	F	13	5_28_2019	6_18_2019	fish	9	late	control	YES	10/4/19	fish_to_control	Ilium SF	cryobanking	fish_rev	8_10_20
fish_2_7	fish_2_7	7	3_16_2019	fish_2	fish_2_7_8_10_20	TD28	Hillside-2-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_85	Fish_2-7-F_SF_Ileum_8_10_20_S111_L003	Fish 2-7-F SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_2_7.bam	Fish_3-7-F_3_S69	Fish_2-7-F_3_S69	F	13	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	cryobanking	fish	8_10_20
fish_2_8	fish_2_8	8	3_16_2019	fish_2	fish_2_8_8_10_20	TD28	Hillside-2-A-12	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_88	Fish_2-8-F_SF_Ileum_8_10_20_S114_L003	Fish 2-8-F SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_2_8.bam	Fish_2-8-F_6_S19	Fish_2-8-F_6_S19	F	13	5_28_2019	6_18_2019	fish	4	early	control	YES	4/2/20	fish_to_control	Ilium SF	cryobanking	fish_rev	8_10_20
fish_3_2	fish_3_2	2	3_16_2019	fish-3	fish_3_2_7_15_20	TD10	Hillside-1-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_39	Fish_3-2-M_SF_Ileum_7_15_20_S36_L002	Fish 3-2-M SF Ileum 7/15/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_3_2.bam	Fish_3-2-M_6_S27	Fish_3-2-M_6_S27	M	12	5_28_2019	6_18_2019	fish	8	late	control	YES	10/4/19	fish_to_control	Ilium SF	sequencing	fish_rev	7_15_20
fish_3_3	fish_3_3	3	3_16_2019	fish-3	fish_3_3_7_15_20	TD10	Hillside-1-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_40	Fish_3-3-M_SF_Ileum_7_18_20_S37_L002	Fish 3-3-M SF Ileum 7/18/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_3_3.bam	Fish_3-3-M_7_S22	Fish_3-3-M_7_S22	M	12	5_28_2019	6_18_2019	fish	3	early	control	YES	4/2/20	fish_to_control	Ilium SF	sequencing	fish_rev	7_15_20
fish_3_4	fish_3_4	4	3_16_2019	Fish-3	fish_3_4_6_29_20	UD6	Hillside-1-B-02	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_107	Fish_3-4-M_SF_Ileum_6_29_20_S128_L003	Fish 3-4-M SF Ileum 6/29/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_3_4.bam	Fish_3-4-M_10_S66	Fish_3-4-M_10_S66	M	12	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	Taken down due to poor body comp./tumor	fish	6_29_20
fish_3_5	fish_3_5	5	3_16_2019	fish-3	fish_3_5_7_15_20	TD10	Hillside-1-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_32	Fish_3-5-M_SF_Ileum_7_15_20_S29_L002	Fish 3-5-M SF Ileum 7/15/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_3_5.bam	Fish_3-5-M_15_S72	Fish_3-5-M_15_S72	M	12	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	sequencing	fish	7_15_20
fish_4_10	fish_4_10	10	3_16_2019	fish-4	fish_4_10_8_11_20	TD30	Hillside-2-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_103	Fish_4-10-M_SF_Ileum_8_10_20_S127_L003	Fish 4-10-M SF Ileum 8/10/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_4_10.bam	Fish_4-10-M_5_S24	Fish_4-10-M_5_S24	M	13	5_28_2019	6_18_2019	fish	4	early	control	YES	4/2/20	fish_to_control	Ilium SF	cryobanking	fish_rev	8_11_20
fish_4_6	fish_4_6	6	3_16_2019	fish-4	fish_4_6_7_21_20	TD14	Hillside-1-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_46	Fish_4-6-M_SF_Ileum_7_21_20_S43_L002	Fish 4-6-M SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_4_6.bam	Fish_4-6-M_13_S26	Fish_4-6-M_13_S26	M	13	5_28_2019	6_18_2019	fish	9	late	control	YES	10/4/19	fish_to_control	Ilium SF	sequencing	fish_rev	7_21_20
fish_4_7	fish_4_7	7	3_16_2019	fish-4	fish_4_7_7_21_20	TD14	Hillside-1-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_45	Fish_4-7-M_SF_Ileum_7_21_20_S42_L002	Fish 4-7-M SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_4_7.bam	Fish_4-7-M_12_S71	Fish_4-7-M_12_S71	M	13	5_28_2019	6_18_2019	fish	0	NR	fish	NO	NA	NO	Ilium SF	sequencing	fish	7_21_20
fish_4_8	fish_4_8	8	3_16_2019	fish-4	fish_4_8_8_7_20	TD26	Hillside-2-A-10	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_81	Fish_4-8-M_SF_Ileum_8_7_20_S107_L003	Fish 4-8-M SF Ileum 8/7/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_4_8.bam	Fish_4-8-M_15_S20	Fish_4-8-M_15_S20	M	13	5_28_2019	6_18_2019	fish	4	early	control	YES	4/2/20	fish_to_control	Ilium SF	cryobanking	fish_rev	8_7_20
fish_4_9	fish_4_9	9	3_16_2019	fish-4	fish_4_9_7_21_20	TD14	Hillside-1-A-14	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_47	Fish_4-9-M_SF_Ileum_7_21_20_S44_L002	Fish 4-9-M SF Ileum 7/21/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_fish_4_9.bam	Fish_4-9-M_14_S21	Fish_4-9-M_14_S21	M	13	5_28_2019	6_18_2019	fish	4	early	control	YES	4/2/20	fish_to_control	Ilium SF	sequencing	fish_rev	7_21_20
keto_1_1	keto_1_1	1	3_16_2019	keto-1	keto_1_1_7_14_20	TD8	Hillside-1-A-08	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_27	Keto_1-1-F_SF_Ileum_7_14_20_S24_L002	Keto 1-1-F SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_1_1.bam	Keto_1-1-F_9_S17	Keto_1-1-F_9_S17	F	12	5_28_2019	6_18_2019	keto	8	late	control	YES	10/4/19	keto_to_control	Ilium SF	sequencing	keto_rev	7_14_20
keto_1_2	keto_1_2	2	3_16_2019	keto-1	keto_1_2_7_14_20	TD9	Hillside-1-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_29	Keto_1-2-F_SF_Ileum_7_14_20_S26_L002	Keto 1-2-F SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_1_2.bam	Keto_1-2-F_11_S67	Keto_1-2-F_11_S67	F	12	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	sequencing	keto	7_14_20
keto_1_3	keto_1_3	3	3_16_2019	keto-1	keto_1_3_7_22_20	TD17	Hillside-2-A-01	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_31	Keto_1-3-F_SF_Ileum_7_14_20_S28_L002	Keto 1-3-F SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_1_3.bam	Keto_1-3-F_4_S65	Keto_1-3-F_4_S65	F	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	sequencing	keto	7_22_20
keto_1_4	keto_1_4	4	3_16_2019	keto-1	keto_1_4_7_14_20	TD9	Hillside-1-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_30	Keto_1-4-F_SF_Ileum_7_14_20_S27_L002	Keto 1-4-F SF Ileum 7/14/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_1_4.bam	Keto_1-4-F_12_S14	Keto_1-4-F_12_S14	F	12	5_28_2019	6_18_2019	keto	3	early	control	YES	4/2/20	keto_to_control	Ilium SF	sequencing	keto_rev	7_14_20
keto_1_5	keto_1_5	5	3_16_2019	keto-1	keto_1_5_8_6_20	TD25	Hillside-2-A-09	Snap Frozen	C57BL_6J	/mnt/grid/beyaz/hpc/home/data/meydan/Diet_RRBS	EC-CM-6649_82	Keto_1-5-F_SF_Ileum_8_6_20_S108_L003	Keto 1-5-F SF Ileum 8/6/20	/grid/beyaz/home/subhash/projects/Diet_cohorts/RRBS/bismark_results/intestine_keto_1_5.bam	Keto_1-5-F_8_7_20_16_S60	Keto_1-5-F_8_7_20_16_S60	F	13	5_28_2019	6_18_2019	keto	0	NR	keto	NO	NA	NO	Ilium SF	cryobanking	keto	8_6_20
